"ROI_TOTAL.Photons.s","MEAN.Photons.s.cm.2.sr","AREA.Pixels..cm.2","Treatment","Site","Group","Mouse_number","day","exp","Mouse"
290263.44,1631.8351,14.15,"control","Body","3A","4",9,15,"3A-4"
270864.13,1516.6339,14.21,"control","Body","3A","5",9,15,"3A-5"
55275.156,1403.8545,3.133,"control","Salivary Gland","4A","1",9,15,"4A-1"
67494.328,1714.1915,3.133,"control","Salivary Gland","4A","2",9,15,"4A-2"
63283.902,1607.2571,3.133,"control","Salivary Gland","4A","3",9,15,"4A-3"
55841.773,1418.2451,3.133,"control","Salivary Gland","4A","4",9,15,"4A-4"
72161.617,1832.7294,3.133,"control","Salivary Gland","4A","5",9,15,"4A-5"
389141.03,2178.8948,14.21,"control","Body","4A","1",9,15,"4A-1"
277815.81,1555.558,14.21,"control","Body","4A","2",9,15,"4A-2"
304816.22,1706.7397,14.21,"control","Body","4A","3",9,15,"4A-3"
266864.25,1494.2375,14.21,"control","Body","4A","4",9,15,"4A-4"
291571.34,1632.5785,14.21,"control","Body","4A","5",9,15,"4A-5"
636644.13,16169.211,3.133,"infected","Salivary Gland","3B","1",9,15,"3B-1"
1249602.4,31736.859,3.133,"infected","Salivary Gland","3B","2",9,15,"3B-2"
226074.72,5741.748,3.133,"infected","Salivary Gland","3B","3",9,15,"3B-3"
236199.89,5998.9028,3.133,"infected","Salivary Gland","3B","4",9,15,"3B-4"
749221.19,19028.396,3.133,"infected","Salivary Gland","3B","5",9,15,"3B-5"
456176.25,2554.2412,14.21,"infected","Body","3B","1",9,15,"3B-1"
1365895.1,7647.9766,14.21,"infected","Body","3B","2",9,15,"3B-2"
639616,3581.3647,14.21,"infected","Body","3B","3",9,15,"3B-3"
517294.44,2896.4568,14.21,"infected","Body","3B","4",9,15,"3B-4"
408567.19,2287.6665,14.21,"infected","Body","3B","5",9,15,"3B-5"
358064.56,9093.9688,3.133,"infected","Salivary Gland","4B","1",9,15,"4B-1"
1143482,29041.658,3.133,"infected","Salivary Gland","4B","2",9,15,"4B-2"
1057491,26857.695,3.133,"infected","Salivary Gland","4B","3",9,15,"4B-3"
197107.97,5006.0625,3.133,"infected","Salivary Gland","4B","4",9,15,"4B-4"
1819766.8,46217.648,3.133,"infected","Salivary Gland","4B","5",9,15,"4B-5"
472543.09,2645.8831,14.21,"infected","Body","4B","1",9,15,"4B-1"
389571.03,2181.3025,14.21,"infected","Body","4B","2",9,15,"4B-2"
473627.06,2651.9524,14.21,"infected","Body","4B","3",9,15,"4B-3"
619280.63,3467.502,14.21,"infected","Body","4B","4",9,15,"4B-4"
1117211.6,6280.8643,14.15,"infected","Body","4B","5",9,15,"4B-5"
32364.221,821.97241,3.133,"control","Salivary Gland","3A","1",10,15,"3A-1"
50379.43,1279.5149,3.133,"control","Salivary Gland","3A","2",10,15,"3A-2"
42511.77,1079.6954,3.133,"control","Salivary Gland","3A","3",10,15,"3A-3"
34258.902,870.09283,3.133,"control","Salivary Gland","3A","4",10,15,"3A-4"
40715.625,1034.0778,3.133,"control","Salivary Gland","3A","5",10,15,"3A-5"
281112.5,1574.0168,14.21,"control","Body","3A","1",10,15,"3A-1"
237870.63,1331.8951,14.21,"control","Body","3A","2",10,15,"3A-2"
231608.75,1296.8334,14.21,"control","Body","3A","3",10,15,"3A-3"
223841.88,1258.4191,14.15,"control","Body","3A","4",10,15,"3A-4"
235622.08,1319.3049,14.21,"control","Body","3A","5",10,15,"3A-5"
48883.383,1241.5189,3.133,"control","Salivary Gland","4A","1",10,15,"4A-1"
56907.813,1445.3199,3.133,"control","Salivary Gland","4A","2",10,15,"4A-2"
58475.523,1485.136,3.133,"control","Salivary Gland","4A","3",10,15,"4A-3"
57129.535,1450.951,3.133,"control","Salivary Gland","4A","4",10,15,"4A-4"
47109.633,1196.4701,3.133,"control","Salivary Gland","4A","5",10,15,"4A-5"
275128.31,1540.5099,14.21,"control","Body","4A","1",10,15,"4A-1"
249722.48,1398.2566,14.21,"control","Body","4A","2",10,15,"4A-2"
270680.5,1515.6056,14.21,"control","Body","4A","3",10,15,"4A-3"
244186.25,1367.2578,14.21,"control","Body","4A","4",10,15,"4A-4"
258748.02,1448.7927,14.21,"control","Body","4A","5",10,15,"4A-5"
505176.06,12830.243,3.133,"infected","Salivary Gland","3B","1",10,15,"3B-1"
4371859.5,111034.59,3.133,"infected","Salivary Gland","3B","2",10,15,"3B-2"
427836.56,10866.007,3.133,"infected","Salivary Gland","3B","3",10,15,"3B-3"
224831.75,5710.1797,3.133,"infected","Salivary Gland","3B","4",10,15,"3B-4"
660457.56,16774.016,3.133,"infected","Salivary Gland","3B","5",10,15,"3B-5"
696492.5,3899.8298,14.21,"infected","Body","3B","1",10,15,"3B-1"
1405490.8,7869.6826,14.21,"infected","Body","3B","2",10,15,"3B-2"
917100.38,5135.0669,14.21,"infected","Body","3B","3",10,15,"3B-3"
529070.19,2974.3855,14.15,"infected","Body","3B","4",10,15,"3B-4"
470254.25,2633.0671,14.21,"infected","Body","3B","5",10,15,"3B-5"
310164.34,7877.4199,3.133,"infected","Salivary Gland","4B","1",10,15,"4B-1"
1337299.9,33964.164,3.133,"infected","Salivary Gland","4B","2",10,15,"4B-2"
722514.19,18350.104,3.133,"infected","Salivary Gland","4B","3",10,15,"4B-3"
262210.41,6659.5063,3.133,"infected","Salivary Gland","4B","4",10,15,"4B-4"
2538204.8,64464.227,3.133,"infected","Salivary Gland","4B","5",10,15,"4B-5"
469586.88,2629.3303,14.21,"infected","Body","4B","1",10,15,"4B-1"
471073.97,2637.657,14.21,"infected","Body","4B","2",10,15,"4B-2"
447020.84,2502.9778,14.21,"infected","Body","4B","3",10,15,"4B-3"
535058.88,2995.9238,14.21,"infected","Body","4B","4",10,15,"4B-4"
822204.75,4603.7231,14.21,"infected","Body","4B","5",10,15,"4B-5"
29347.498,745.35504,3.133,"control","Salivary Gland","3A","1",11,15,"3A-1"
30332.916,770.38226,3.133,"control","Salivary Gland","3A","2",11,15,"3A-2"
32509.789,825.66956,3.133,"control","Salivary Gland","3A","3",11,15,"3A-3"
22136.041,562.2016,3.133,"control","Salivary Gland","3A","4",11,15,"3A-4"
31210.832,792.67914,3.133,"control","Salivary Gland","3A","5",11,15,"3A-5"
295280.09,1653.3446,14.21,"control","Body","3A","1",11,15,"3A-1"
219523.95,1229.1677,14.21,"control","Body","3A","2",11,15,"3A-2"
218672.92,1224.4026,14.21,"control","Body","3A","3",11,15,"3A-3"
189773.33,1062.5868,14.21,"control","Body","3A","4",11,15,"3A-4"
207698.94,1162.9565,14.21,"control","Body","3A","5",11,15,"3A-5"
55364.734,1406.1295,3.133,"control","Salivary Gland","4A","1",11,15,"4A-1"
51591.039,1310.2869,3.133,"control","Salivary Gland","4A","2",11,15,"4A-2"
52365.938,1329.9674,3.133,"control","Salivary Gland","4A","3",11,15,"4A-3"
57940.258,1471.5415,3.133,"control","Salivary Gland","4A","4",11,15,"4A-4"
52475.676,1332.7545,3.133,"control","Salivary Gland","4A","5",11,15,"4A-5"
280485.41,1570.5056,14.21,"control","Body","4A","1",11,15,"4A-1"
237575,1330.2397,14.21,"control","Body","4A","2",11,15,"4A-2"
265283.13,1485.3843,14.21,"control","Body","4A","3",11,15,"4A-3"
265390.66,1485.9863,14.21,"control","Body","4A","4",11,15,"4A-4"
232647.91,1307.9258,14.15,"control","Body","4A","5",11,15,"4A-5"
420004.75,10667.099,3.133,"infected","Salivary Gland","3B","1",11,15,"3B-1"
6123500,155522,3.133,"infected","Salivary Gland","3B","2",11,15,"3B-2"
783316.63,19894.336,3.133,"infected","Salivary Gland","3B","3",11,15,"3B-3"
279146.16,7089.6328,3.133,"infected","Salivary Gland","3B","4",11,15,"3B-4"
466404.41,11845.537,3.133,"infected","Salivary Gland","3B","5",11,15,"3B-5"
489949.16,2743.3438,14.21,"infected","Body","3B","1",11,15,"3B-1"
1118026.9,6260.1025,14.21,"infected","Body","3B","2",11,15,"3B-2"
1032546.4,5781.4771,14.21,"infected","Body","3B","3",11,15,"3B-3"
330988,1860.785,14.15,"infected","Body","3B","4",11,15,"3B-4"
280010.63,1567.8472,14.21,"infected","Body","3B","5",11,15,"3B-5"
208592.55,5297.7432,3.133,"infected","Salivary Gland","4B","1",11,15,"4B-1"
553649.56,14061.353,3.133,"infected","Salivary Gland","4B","2",11,15,"4B-2"
467065.13,11862.317,3.133,"infected","Salivary Gland","4B","3",11,15,"4B-3"
181289.78,4604.3193,3.133,"infected","Salivary Gland","4B","4",11,15,"4B-4"
1998209.9,50749.668,3.133,"infected","Salivary Gland","4B","5",11,15,"4B-5"
401467.69,2247.9146,14.21,"infected","Body","4B","1",11,15,"4B-1"
372850.31,2087.679,14.21,"infected","Body","4B","2",11,15,"4B-2"
404110.38,2262.7119,14.21,"infected","Body","4B","3",11,15,"4B-3"
418730.41,2354.0649,14.15,"infected","Body","4B","4",11,15,"4B-4"
688120.88,3868.5544,14.15,"infected","Body","4B","5",11,15,"4B-5"
42923.852,1090.1614,3.133,"control","Salivary Gland","3A","1",12,15,"3A-1"
40417.758,1026.5127,3.133,"control","Salivary Gland","3A","2",12,15,"3A-2"
47476.926,1205.7983,3.133,"control","Salivary Gland","3A","3",12,15,"3A-3"
39539.844,1004.2158,3.133,"control","Salivary Gland","3A","4",12,15,"3A-4"
47140.992,1197.2665,3.133,"control","Salivary Gland","3A","5",12,15,"3A-5"
235416.05,1318.1514,14.21,"control","Body","3A","1",12,15,"3A-1"
220146.56,1232.6538,14.21,"control","Body","3A","2",12,15,"3A-2"
244307.19,1367.9349,14.21,"control","Body","3A","3",12,15,"3A-3"
190803.53,1068.3551,14.21,"control","Body","3A","4",12,15,"3A-4"
203407.92,1143.5411,14.15,"control","Body","3A","5",12,15,"3A-5"
46489.27,1180.7144,3.133,"control","Salivary Gland","4A","1",12,15,"4A-1"
50558.594,1284.0652,3.133,"control","Salivary Gland","4A","2",12,15,"4A-2"
54287.496,1378.7703,3.133,"control","Salivary Gland","4A","3",12,15,"4A-3"
60141.773,1527.4547,3.133,"control","Salivary Gland","4A","4",12,15,"4A-4"
51985.211,1320.2979,3.133,"control","Salivary Gland","4A","5",12,15,"4A-5"
286536.75,1604.3885,14.21,"control","Body","4A","1",12,15,"4A-1"
266277.47,1490.952,14.21,"control","Body","4A","2",12,15,"4A-2"
319418.31,1788.5004,14.21,"control","Body","4A","3",12,15,"4A-3"
260638.23,1459.3765,14.21,"control","Body","4A","4",12,15,"4A-4"
253977.69,1422.0825,14.21,"control","Body","4A","5",12,15,"4A-5"
731983.13,18590.59,3.133,"infected","Salivary Gland","3B","1",12,15,"3B-1"
3104956,78858.328,3.133,"infected","Salivary Gland","3B","2",12,15,"3B-2"
2840293.3,72136.539,3.133,"infected","Salivary Gland","3B","3",12,15,"3B-3"
258671.86,6569.6357,3.133,"infected","Salivary Gland","3B","4",12,15,"3B-4"
462404.53,11743.95,3.133,"infected","Salivary Gland","3B","5",12,15,"3B-5"
559519.56,3132.8853,14.21,"infected","Body","3B","1",12,15,"3B-1"
624153.94,3494.7888,14.21,"infected","Body","3B","2",12,15,"3B-2"
1281382,7174.7676,14.21,"infected","Body","3B","3",12,15,"3B-3"
352022.19,1971.0573,14.21,"infected","Body","3B","4",12,15,"3B-4"
450532.5,2522.6404,14.21,"infected","Body","3B","5",12,15,"3B-5"
561732.25,14266.633,3.133,"infected","Salivary Gland","4B","1",12,15,"4B-1"
872116.13,22149.629,3.133,"infected","Salivary Gland","4B","2",12,15,"4B-2"
685173.63,17401.742,3.133,"infected","Salivary Gland","4B","3",12,15,"4B-3"
127969.79,3250.1213,3.133,"infected","Salivary Gland","4B","4",12,15,"4B-4"
2121261.8,53874.887,3.133,"infected","Salivary Gland","4B","5",12,15,"4B-5"
559815.19,3134.5405,14.21,"infected","Body","4B","1",12,15,"4B-1"
313998.56,1758.1538,14.21,"infected","Body","4B","2",12,15,"4B-2"
407631.03,2282.4248,14.21,"infected","Body","4B","3",12,15,"4B-3"
396925.81,2222.4836,14.21,"infected","Body","4B","4",12,15,"4B-4"
874454.19,4916.1035,14.15,"infected","Body","4B","5",12,15,"4B-5"
42381.871,1076.3965,3.133,"control","Salivary Gland","3A","1",13,15,"3A-1"
49214.844,1249.9373,3.133,"control","Salivary Gland","3A","2",13,15,"3A-2"
51192.395,1300.1624,3.133,"control","Salivary Gland","3A","3",13,15,"3A-3"
53566.352,1360.455,3.133,"control","Salivary Gland","3A","4",13,15,"3A-4"
64719.48,1643.7173,3.133,"control","Salivary Gland","3A","5",13,15,"3A-5"
307745.63,1723.1421,14.21,"control","Body","3A","1",13,15,"3A-1"
278747.5,1560.7745,14.21,"control","Body","3A","2",13,15,"3A-2"
295768.31,1656.0784,14.21,"control","Body","3A","3",13,15,"3A-3"
242582.7,1358.2792,14.21,"control","Body","3A","4",13,15,"3A-4"
310460,1745.3784,14.15,"control","Body","3A","5",13,15,"3A-5"
62264.895,1581.3768,3.133,"control","Salivary Gland","4A","1",13,15,"4A-1"
69102.344,1755.0314,3.133,"control","Salivary Gland","4A","2",13,15,"4A-2"
56439.734,1433.432,3.133,"control","Salivary Gland","4A","3",13,15,"4A-3"
71263.531,1809.9204,3.133,"control","Salivary Gland","4A","4",13,15,"4A-4"
64894.168,1648.1539,3.133,"control","Salivary Gland","4A","5",13,15,"4A-5"
314441.97,1760.6366,14.21,"control","Body","4A","1",13,15,"4A-1"
289927.47,1623.374,14.21,"control","Body","4A","2",13,15,"4A-2"
317062.28,1775.3083,14.21,"control","Body","4A","3",13,15,"4A-3"
293546.66,1643.6387,14.21,"control","Body","4A","4",13,15,"4A-4"
292014.81,1641.6812,14.15,"control","Body","4A","5",13,15,"4A-5"
959338.94,24364.873,3.133,"infected","Salivary Gland","3B","1",13,15,"3B-1"
1292438.9,32824.805,3.133,"infected","Salivary Gland","3B","2",13,15,"3B-2"
3737367.5,94920.039,3.133,"infected","Salivary Gland","3B","3",13,15,"3B-3"
192248.06,4882.6333,3.133,"infected","Salivary Gland","3B","4",13,15,"3B-4"
235931.14,5992.0767,3.133,"infected","Salivary Gland","3B","5",13,15,"3B-5"
721172.69,4038.0203,14.21,"infected","Body","3B","1",13,15,"3B-1"
411429.34,2303.6924,14.21,"infected","Body","3B","2",13,15,"3B-2"
852318.19,4772.3354,14.21,"infected","Body","3B","3",13,15,"3B-3"
507310.41,2840.5535,14.21,"infected","Body","3B","4",13,15,"3B-4"
368465.19,2071.4785,14.15,"infected","Body","3B","5",13,15,"3B-5"
401960.41,10208.816,3.133,"infected","Salivary Gland","4B","1",13,15,"4B-1"
533943.5,13560.865,3.133,"infected","Salivary Gland","4B","2",13,15,"4B-2"
526080.38,13361.161,3.133,"infected","Salivary Gland","4B","3",13,15,"4B-3"
135067.03,3430.3738,3.133,"infected","Salivary Gland","4B","4",13,15,"4B-4"
675194.06,17148.285,3.133,"infected","Salivary Gland","4B","5",13,15,"4B-5"
476009.97,2665.2949,14.21,"infected","Body","4B","1",13,15,"4B-1"
394444.34,2208.5894,14.21,"infected","Body","4B","2",13,15,"4B-2"
420562.38,2354.8303,14.21,"infected","Body","4B","3",13,15,"4B-3"
409158.41,2290.9768,14.21,"infected","Body","4B","4",13,15,"4B-4"
492197.72,2767.0916,14.15,"infected","Body","4B","5",13,15,"4B-5"
52659.324,1337.4187,3.133,"control","Salivary Gland","3A","1",14,15,"3A-1"
58981.664,1497.9907,3.133,"control","Salivary Gland","3A","2",14,15,"3A-2"
53006.457,1346.235,3.133,"control","Salivary Gland","3A","3",14,15,"3A-3"
42117.605,1069.6847,3.133,"control","Salivary Gland","3A","4",14,15,"3A-4"
51411.875,1305.7365,3.133,"control","Salivary Gland","3A","5",14,15,"3A-5"
289622.91,1621.6687,14.21,"control","Body","3A","1",14,15,"3A-1"
267966.16,1500.4072,14.21,"control","Body","3A","2",14,15,"3A-2"
262461.25,1469.584,14.21,"control","Body","3A","3",14,15,"3A-3"
244701.36,1370.1421,14.21,"control","Body","3A","4",14,15,"3A-4"
242251.25,1356.4232,14.21,"control","Body","3A","5",14,15,"3A-5"
60950.258,1547.9883,3.133,"control","Salivary Gland","4A","1",14,15,"4A-1"
74833.438,1900.5872,3.133,"control","Salivary Gland","4A","2",14,15,"4A-2"
55279.633,1403.9681,3.133,"control","Salivary Gland","4A","3",14,15,"4A-3"
55622.289,1412.6708,3.133,"control","Salivary Gland","4A","4",14,15,"4A-4"
75073.07,1906.6733,3.133,"control","Salivary Gland","4A","5",14,15,"4A-5"
321631.06,1800.8899,14.21,"control","Body","4A","1",14,15,"4A-1"
304014.47,1702.2505,14.21,"control","Body","4A","2",14,15,"4A-2"
320134.97,1792.5132,14.21,"control","Body","4A","3",14,15,"4A-3"
271061.25,1517.7373,14.21,"control","Body","4A","4",14,15,"4A-4"
293958.75,1645.946,14.21,"control","Body","4A","5",14,15,"4A-5"
1546629.4,39280.621,3.133,"infected","Salivary Gland","3B","1",14,15,"3B-1"
1502968.6,38171.746,3.133,"infected","Salivary Gland","3B","2",14,15,"3B-2"
4680124.5,118863.77,3.133,"infected","Salivary Gland","3B","3",14,15,"3B-3"
221723.23,5631.2305,3.133,"infected","Salivary Gland","3B","4",14,15,"3B-4"
327346.47,8313.8037,3.133,"infected","Salivary Gland","3B","5",14,15,"3B-5"
640180.38,3584.5247,14.21,"infected","Body","3B","1",14,15,"3B-1"
403366.91,2258.5486,14.21,"infected","Body","3B","2",14,15,"3B-2"
553768.38,3100.6829,14.21,"infected","Body","3B","3",14,15,"3B-3"
384077.31,2150.5417,14.21,"infected","Body","3B","4",14,15,"3B-4"
482728.72,2713.8577,14.15,"infected","Body","3B","5",14,15,"3B-5"
265858.69,6752.1641,3.133,"infected","Salivary Gland","4B","1",14,15,"4B-1"
481337.97,12224.813,3.133,"infected","Salivary Gland","4B","2",14,15,"4B-2"
388213.84,9859.6875,3.133,"infected","Salivary Gland","4B","3",14,15,"4B-3"
165052.8,4191.9395,3.133,"infected","Salivary Gland","4B","4",14,15,"4B-4"
726650.69,18455.16,3.133,"infected","Salivary Gland","4B","5",14,15,"4B-5"
499731.63,2798.1182,14.21,"infected","Body","4B","1",14,15,"4B-1"
359936.88,2015.3735,14.21,"infected","Body","4B","2",14,15,"4B-2"
396648.09,2220.9287,14.21,"infected","Body","4B","3",14,15,"4B-3"
390001.06,2183.71,14.21,"infected","Body","4B","4",14,15,"4B-4"
425350.59,2381.6409,14.21,"infected","Body","4B","5",14,15,"4B-5"
41826.453,1062.2902,3.133,"control","Salivary Gland","3A","1",15,15,"3A-1"
55250.523,1403.2288,3.133,"control","Salivary Gland","3A","2",15,15,"3A-2"
42184.793,1071.391,3.133,"control","Salivary Gland","3A","3",15,15,"3A-3"
44195.934,1122.4692,3.133,"control","Salivary Gland","3A","4",15,15,"3A-4"
34503.016,876.29272,3.133,"control","Salivary Gland","3A","5",15,15,"3A-5"
299701.03,1678.0985,14.21,"control","Body","3A","1",15,15,"3A-1"
287226.56,1608.251,14.21,"control","Body","3A","2",15,15,"3A-2"
217176.88,1216.0258,14.21,"control","Body","3A","3",15,15,"3A-3"
226256.14,1266.8628,14.21,"control","Body","3A","4",15,15,"3A-4"
246121.23,1383.6716,14.15,"control","Body","3A","5",15,15,"3A-5"
66602.969,1691.5532,3.133,"control","Salivary Gland","4A","1",15,15,"4A-1"
70605.102,1793.1979,3.133,"control","Salivary Gland","4A","2",15,15,"4A-2"
62847.184,1596.1655,3.133,"control","Salivary Gland","4A","3",15,15,"4A-3"
58363.539,1482.2919,3.133,"control","Salivary Gland","4A","4",15,15,"4A-4"
58164.215,1477.2295,3.133,"control","Salivary Gland","4A","5",15,15,"4A-5"
313989.56,1758.1035,14.21,"control","Body","4A","1",15,15,"4A-1"
309591.03,1733.475,14.21,"control","Body","4A","2",15,15,"4A-2"
315870.84,1768.6371,14.21,"control","Body","4A","3",15,15,"4A-3"
291934.16,1634.61,14.21,"control","Body","4A","4",15,15,"4A-4"
285609.56,1599.197,14.21,"control","Body","4A","5",15,15,"4A-5"
1239199.5,31472.65,3.133,"infected","Salivary Gland","3B","1",15,15,"3B-1"
1451529.9,36865.328,3.133,"infected","Salivary Gland","3B","2",15,15,"3B-2"
4126412.3,104800.83,3.133,"infected","Salivary Gland","3B","3",15,15,"3B-3"
232222.39,5897.8838,3.133,"infected","Salivary Gland","3B","4",15,15,"3B-4"
244502.03,6209.7563,3.133,"infected","Salivary Gland","3B","5",15,15,"3B-5"
525325.56,2941.425,14.21,"infected","Body","3B","1",15,15,"3B-1"
393718.75,2204.5264,14.21,"infected","Body","3B","2",15,15,"3B-2"
571272.94,3198.6951,14.21,"infected","Body","3B","3",15,15,"3B-3"
648964,3633.7065,14.21,"infected","Body","3B","4",15,15,"3B-4"
416338.53,2331.1802,14.21,"infected","Body","3B","5",15,15,"3B-5"
230141.81,5845.042,3.133,"infected","Salivary Gland","4B","1",15,15,"4B-1"
497200.91,12627.693,3.133,"infected","Salivary Gland","4B","2",15,15,"4B-2"
379618.31,9641.3818,3.133,"infected","Salivary Gland","4B","3",15,15,"4B-3"
135741.13,3447.4946,3.133,"infected","Salivary Gland","4B","4",15,15,"4B-4"
1000244.9,25403.785,3.133,"infected","Salivary Gland","4B","5",15,15,"4B-5"
403142.91,2257.2947,14.21,"infected","Body","4B","1",15,15,"4B-1"
337541.03,1889.9738,14.21,"infected","Body","4B","2",15,15,"4B-2"
384455.81,2152.6611,14.21,"infected","Body","4B","3",15,15,"4B-3"
390529.56,2186.6694,14.21,"infected","Body","4B","4",15,15,"4B-4"
435885.63,2440.6292,14.21,"infected","Body","4B","5",15,15,"4B-5"
38666.406,982.03259,3.133,"control","Salivary Gland","3A","1",16,15,"3A-1"
41465.887,1053.1326,3.133,"control","Salivary Gland","3A","2",16,15,"3A-2"
35468.281,900.80804,3.133,"control","Salivary Gland","3A","3",16,15,"3A-3"
34368.648,872.87994,3.133,"control","Salivary Gland","3A","4",16,15,"3A-4"
47127.551,1196.925,3.133,"control","Salivary Gland","3A","5",16,15,"3A-5"
314733.13,1762.2668,14.21,"control","Body","3A","1",16,15,"3A-1"
291262.28,1630.848,14.21,"control","Body","3A","2",16,15,"3A-2"
261878.95,1466.3235,14.21,"control","Body","3A","3",16,15,"3A-3"
228625.63,1280.1301,14.21,"control","Body","3A","4",16,15,"3A-4"
232432.92,1301.4481,14.21,"control","Body","3A","5",16,15,"3A-5"
55996.301,1422.1698,3.133,"control","Salivary Gland","4A","1",16,15,"4A-1"
57460.992,1459.3693,3.133,"control","Salivary Gland","4A","2",16,15,"4A-2"
61194.375,1554.1882,3.133,"control","Salivary Gland","4A","3",16,15,"4A-3"
60253.75,1530.2986,3.133,"control","Salivary Gland","4A","4",16,15,"4A-4"
42381.871,1076.3965,3.133,"control","Salivary Gland","4A","5",16,15,"4A-5"
276436.22,1547.8334,14.21,"control","Body","4A","1",16,15,"4A-1"
319212.28,1787.3468,14.21,"control","Body","4A","2",16,15,"4A-2"
264163.34,1485.1027,14.15,"control","Body","4A","3",16,15,"4A-3"
285394.59,1597.9933,14.21,"control","Body","4A","4",16,15,"4A-4"
262788.22,1471.4148,14.21,"control","Body","4A","5",16,15,"4A-5"
923657.88,23458.662,3.133,"infected","Salivary Gland","3B","1",16,15,"3B-1"
1857028.9,47164.016,3.133,"infected","Salivary Gland","3B","2",16,15,"3B-2"
3000428,76203.57,3.133,"infected","Salivary Gland","3B","3",16,15,"3B-3"
223078.17,5665.6426,3.133,"infected","Salivary Gland","3B","4",16,15,"3B-4"
221458.94,5624.5181,3.133,"infected","Salivary Gland","3B","5",16,15,"3B-5"
482683.91,2702.6641,14.21,"infected","Body","3B","1",16,15,"3B-1"
328923.13,1841.72,14.21,"infected","Body","3B","2",16,15,"3B-2"
432423.22,2421.2422,14.21,"infected","Body","3B","3",16,15,"3B-3"
375622.91,2103.2036,14.21,"infected","Body","3B","4",16,15,"3B-4"
293398.84,1649.462,14.15,"infected","Body","3B","5",16,15,"3B-5"
178185.73,4525.4839,3.133,"infected","Salivary Gland","4B","1",16,15,"4B-1"
451997.19,11479.628,3.133,"infected","Salivary Gland","4B","2",16,15,"4B-2"
378075.25,9602.1914,3.133,"infected","Salivary Gland","4B","3",16,15,"4B-3"
111047.5,2820.3362,3.133,"infected","Salivary Gland","4B","4",16,15,"4B-4"
723105.44,18365.119,3.133,"infected","Salivary Gland","4B","5",16,15,"4B-5"
352277.5,1972.4868,14.21,"infected","Body","4B","1",16,15,"4B-1"
344945.09,1931.4309,14.21,"infected","Body","4B","2",16,15,"4B-2"
374798.75,2098.5886,14.21,"infected","Body","4B","3",16,15,"4B-3"
312000.81,1746.968,14.21,"infected","Body","4B","4",16,15,"4B-4"
338974.38,1905.6837,14.15,"infected","Body","4B","5",16,15,"4B-5"
28890.625,733.75159,3.133,"control","Salivary Gland","3A","1",17,15,"3A-1"
38646.25,981.52063,3.133,"control","Salivary Gland","3A","2",17,15,"3A-2"
35600.418,904.16394,3.133,"control","Salivary Gland","3A","3",17,15,"3A-3"
41658.488,1058.0243,3.133,"control","Salivary Gland","3A","4",17,15,"3A-4"
39403.227,1000.7461,3.133,"control","Salivary Gland","3A","5",17,15,"3A-5"
252938.53,1416.264,14.21,"control","Body","3A","1",17,15,"3A-1"
193199.91,1081.7729,14.21,"control","Body","3A","2",17,15,"3A-2"
228424.06,1279.0015,14.21,"control","Body","3A","3",17,15,"3A-3"
165809.8,928.40906,14.21,"control","Body","3A","4",17,15,"3A-4"
178476.88,999.33514,14.21,"control","Body","3A","5",17,15,"3A-5"
54641.352,1387.7573,3.133,"control","Salivary Gland","4A","1",17,15,"4A-1"
52594.375,1335.769,3.133,"control","Salivary Gland","4A","2",17,15,"4A-2"
59734.164,1517.1024,3.133,"control","Salivary Gland","4A","3",17,15,"4A-3"
59917.813,1521.7666,3.133,"control","Salivary Gland","4A","4",17,15,"4A-4"
44672.969,1134.5847,3.133,"control","Salivary Gland","4A","5",17,15,"4A-5"
278819.19,1561.1759,14.21,"control","Body","4A","1",17,15,"4A-1"
256821.98,1438.0083,14.21,"control","Body","4A","2",17,15,"4A-2"
280140.5,1568.5745,14.21,"control","Body","4A","3",17,15,"4A-3"
248226.47,1389.88,14.21,"control","Body","4A","4",17,15,"4A-4"
255388.66,1429.9828,14.21,"control","Body","4A","5",17,15,"4A-5"
774958.5,19682.061,3.133,"infected","Salivary Gland","3B","1",17,15,"3B-1"
2204865,55998.211,3.133,"infected","Salivary Gland","3B","2",17,15,"3B-2"
1892150,48056.008,3.133,"infected","Salivary Gland","3B","3",17,15,"3B-3"
178291,4528.1572,3.133,"infected","Salivary Gland","3B","4",17,15,"3B-4"
253711.19,6443.647,3.133,"infected","Salivary Gland","3B","5",17,15,"3B-5"
353419.69,1978.8822,14.21,"infected","Body","3B","1",17,15,"3B-1"
455768.66,2551.959,14.21,"infected","Body","3B","2",17,15,"3B-2"
378462.72,2119.1042,14.21,"infected","Body","3B","3",17,15,"3B-3"
370960.13,2077.0952,14.21,"infected","Body","3B","4",17,15,"3B-4"
290859.16,1628.5907,14.21,"infected","Body","3B","5",17,15,"3B-5"
139996.34,3555.5667,3.133,"infected","Salivary Gland","4B","1",17,15,"4B-1"
300458.03,7630.9028,3.133,"infected","Salivary Gland","4B","2",17,15,"4B-2"
232540.41,5905.9604,3.133,"infected","Salivary Gland","4B","3",17,15,"4B-3"
99106.039,2517.0522,3.133,"infected","Salivary Gland","4B","4",17,15,"4B-4"
550187.19,13973.416,3.133,"infected","Salivary Gland","4B","5",17,15,"4B-5"
334307.06,1871.8661,14.21,"infected","Body","4B","1",17,15,"4B-1"
331077.59,1853.7834,14.21,"infected","Body","4B","2",17,15,"4B-2"
337343.94,1888.8702,14.21,"infected","Body","4B","3",17,15,"4B-3"
