ROI_TOTAL.Photons.s,MEAN.Photons.s.cm.2.sr,AREA.Pixels..cm.2,Treatment,Site,Mouse,day,exp
798700.38,20285.045,3.133,10^6 K181,Salivary Gland,P-4,4,18
1292517.3,32826.793,3.133,10^6 K181,Salivary Gland,P-8,4,18
221049.11,5614.1094,3.133,10^6 K181,Salivary Gland,P-9,4,18
2.02E+08,1132354.4,14.21,10^6 K181,Body,P-4,4,18
10741570,60144.645,14.21,10^6 K181,Body,P-8,4,18
88515272,495618.41,14.21,10^6 K181,Body,P-9,4,18
4874068,123789.46,3.133,10^6 K181,Salivary Gland,P-4,5,18
5043102.5,128082.53,3.133,10^6 K181,Salivary Gland,P-8,5,18
1255217,31879.457,3.133,10^6 K181,Salivary Gland,P-9,5,18
43748540,244958.64,14.21,10^6 K181,Body,P-4,5,18
35277396,197526.67,14.21,10^6 K181,Body,P-8,5,18
65647168,367574.38,14.21,10^6 K181,Body,P-9,5,18
213342.72,5418.3857,3.133,10^2 K181,Salivary Gland,P-5,7,18
242251.25,6152.5918,3.133,10^2 K181,Salivary Gland,P-6,7,18
1996082.3,50695.633,3.133,10^2 K181,Salivary Gland,P-7,7,18
1130577.5,6330.3765,14.21,10^2 K181,Body,P-5,7,18
475481.44,2662.3354,14.21,10^2 K181,Body,P-6,7,18
835805.75,4679.8784,14.21,10^2 K181,Body,P-7,7,18
413895.13,10511.93,3.133,10^2 K181,Salivary Gland,P-5,8,18
338510.75,8597.3496,3.133,10^2 K181,Salivary Gland,P-6,8,18
1658904.1,42132.129,3.133,10^2 K181,Salivary Gland,P-7,8,18
683095.25,3824.8157,14.21,10^2 K181,Body,P-5,8,18
645806.25,3616.0254,14.21,10^2 K181,Body,P-6,8,18
1289565.4,7220.5889,14.21,10^2 K181,Body,P-7,8,18
293961,7465.8936,3.133,10^2 K181,Salivary Gland,P-5,9,18
148363.44,3768.0701,3.133,10^2 K181,Salivary Gland,P-6,9,18
1923972.3,48864.215,3.133,10^2 K181,Salivary Gland,P-7,9,18
704922.25,3947.03,14.21,10^2 K181,Body,P-5,9,18
875515.81,4902.2246,14.21,10^2 K181,Body,P-6,9,18
1372304.6,7683.8657,14.21,10^2 K181,Body,P-7,9,18
459466.22,11669.323,3.133,10^2 K181,Salivary Gland,P-5,10,18
201979.06,5129.7764,3.133,10^2 K181,Salivary Gland,P-6,10,18
1226588.4,31152.361,3.133,10^2 K181,Salivary Gland,P-7,10,18
385459.16,2158.2791,14.21,10^2 K181,Body,P-5,10,18
